(info) 6/18/2017 7:3:46:73 || PROCESS RESTARTED
(info) 6/18/2017 7:29:42:475 || PROCESS RESTARTED
(info) 6/18/2017 20:28:28:912 || PROCESS RESTARTED
(info) 6/20/2017 4:49:55:822 || PROCESS RESTARTED
(info) 6/20/2017 4:50:33:636 || PROCESS RESTARTED
(info) 6/20/2017 4:53:4:706 || PROCESS RESTARTED
(info) 6/20/2017 4:53:7:387 || PROCESS RESTARTED
(info) 6/20/2017 4:53:50:839 || PROCESS RESTARTED
(info) 6/20/2017 4:53:56:244 || PROCESS RESTARTED
(info) 6/20/2017 4:54:1:424 || PROCESS RESTARTED
(info) 6/23/2017 18:26:19:932 || PROCESS RESTARTED
(info) 6/23/2017 19:50:57:383 || PROCESS RESTARTED
(info) 6/23/2017 19:51:28:58 || PROCESS RESTARTED
(info) 6/23/2017 19:51:40:570 || PROCESS RESTARTED
(info) 6/23/2017 19:51:44:834 || PROCESS RESTARTED
(info) 6/23/2017 19:53:32:761 || PROCESS RESTARTED
(info) 6/23/2017 19:54:29:500 || PROCESS RESTARTED
(info) 6/23/2017 19:55:2:175 || PROCESS RESTARTED
(info) 6/23/2017 19:55:42:759 || PROCESS RESTARTED
(info) 6/23/2017 19:57:0:830 || PROCESS RESTARTED
(info) 6/23/2017 19:57:17:30 || PROCESS RESTARTED
(info) 6/23/2017 19:57:34:531 || PROCESS RESTARTED
(info) 6/23/2017 19:58:27:816 || PROCESS RESTARTED
(info) 6/23/2017 19:58:51:461 || PROCESS RESTARTED
(info) 6/23/2017 19:59:33:995 || PROCESS RESTARTED
(info) 6/23/2017 19:59:50:615 || PROCESS RESTARTED
(info) 6/23/2017 20:0:30:646 || PROCESS RESTARTED
(info) 6/23/2017 20:0:34:475 || PROCESS RESTARTED
(info) 6/23/2017 20:0:37:90 || PROCESS RESTARTED
(info) 6/23/2017 20:1:22:648 || PROCESS RESTARTED
(info) 6/23/2017 20:1:40:986 || PROCESS RESTARTED
(info) 6/23/2017 20:2:26:371 || PROCESS RESTARTED
(info) 6/23/2017 20:2:59:236 || PROCESS RESTARTED
(info) 6/23/2017 20:3:30:831 || PROCESS RESTARTED
(info) 6/23/2017 20:3:55:214 || PROCESS RESTARTED
(info) 6/23/2017 20:8:22:190 || PROCESS RESTARTED
(info) 6/23/2017 20:8:35:763 || PROCESS RESTARTED
(info) 6/23/2017 20:9:18:225 || PROCESS RESTARTED
(info) 6/23/2017 20:9:23:589 || PROCESS RESTARTED
(info) 6/23/2017 20:9:39:157 || PROCESS RESTARTED
(info) 6/23/2017 20:9:43:190 || PROCESS RESTARTED
(info) 6/23/2017 20:9:51:375 || PROCESS RESTARTED
(info) 6/23/2017 20:10:45:947 || PROCESS RESTARTED
(info) 6/23/2017 20:10:52:654 || PROCESS RESTARTED
(info) 6/23/2017 20:11:29:794 || PROCESS RESTARTED
(info) 6/23/2017 20:12:4:585 || PROCESS RESTARTED
(info) 6/23/2017 20:12:40:267 || PROCESS RESTARTED
(info) 6/23/2017 20:12:49:558 || PROCESS RESTARTED
(info) 6/23/2017 20:41:56:666 || PROCESS RESTARTED
(info) 6/23/2017 20:44:6:784 || PROCESS RESTARTED
(info) 6/25/2017 17:49:31:307 || PROCESS RESTARTED
(info) 6/25/2017 17:59:24:751 || PROCESS RESTARTED
(info) 7/8/2017 18:23:57:13 || PROCESS RESTARTED
(info) 7/8/2017 18:24:0:500 || PROCESS RESTARTED
(info) 7/8/2017 18:24:13:770 || PROCESS RESTARTED
(info) 7/8/2017 18:24:17:706 || PROCESS RESTARTED
(info) 7/8/2017 18:25:34:324 || PROCESS RESTARTED
(info) 7/8/2017 18:27:53:527 || PROCESS RESTARTED
(info) 7/8/2017 18:30:56:428 || PROCESS RESTARTED
(info) 7/8/2017 18:36:33:46 || PROCESS RESTARTED
(info) 7/8/2017 18:37:4:936 || PROCESS RESTARTED
(info) 7/8/2017 18:42:12:519 || PROCESS RESTARTED
(info) 7/8/2017 18:42:15:7 || PROCESS RESTARTED
(info) 7/8/2017 18:42:35:794 || PROCESS RESTARTED
(info) 7/8/2017 18:43:17:853 || PROCESS RESTARTED
(info) 7/8/2017 18:43:21:920 || PROCESS RESTARTED
(info) 7/8/2017 18:51:30:712 || PROCESS RESTARTED
(info) 7/8/2017 18:53:54:544 || PROCESS RESTARTED
(info) 7/8/2017 18:54:21:661 || PROCESS RESTARTED
(info) 7/8/2017 18:55:4:468 || PROCESS RESTARTED
(info) 7/8/2017 18:55:28:19 || PROCESS RESTARTED
(info) 7/8/2017 19:0:21:310 || PROCESS RESTARTED
(info) 7/8/2017 19:0:45:828 || PROCESS RESTARTED
(info) 7/8/2017 19:1:13:192 || PROCESS RESTARTED
(info) 7/8/2017 19:1:34:805 || PROCESS RESTARTED
(info) 7/8/2017 19:2:48:172 || PROCESS RESTARTED
(info) 7/8/2017 19:3:10:390 || PROCESS RESTARTED
(info) 7/8/2017 19:3:27:674 || PROCESS RESTARTED
(info) 7/8/2017 19:6:48:131 || PROCESS RESTARTED
(info) 7/8/2017 19:7:3:707 || PROCESS RESTARTED
(info) 7/8/2017 19:7:21:939 || PROCESS RESTARTED
(info) 7/8/2017 19:8:20:292 || PROCESS RESTARTED
(info) 7/8/2017 19:8:43:322 || PROCESS RESTARTED
(info) 7/8/2017 19:9:1:852 || PROCESS RESTARTED
(info) 7/8/2017 19:9:33:392 || PROCESS RESTARTED
(info) 7/8/2017 19:11:0:939 || PROCESS RESTARTED
(info) 7/8/2017 19:12:9:162 || PROCESS RESTARTED
